 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   366    12    31  2012       1       1  field                  0.000       0.000       0.000       0.000       0.439       0.000       0.000       0.000       0.000
   366    12    31  2012       2       2  sat_buff               0.000       0.000       0.000       0.025       0.855       0.000       0.000       0.000       0.000
    31     1    31  2013       1       1  field                  0.142       0.259       0.014       4.851       0.406       0.000       0.000       0.002       0.000
    31     1    31  2013       2       2  sat_buff               5.329       4.834       1.721       0.051       0.736       0.000       0.000       0.012       0.000
    59     2    28  2013       1       1  field                  0.018       0.033       0.002       1.346       0.352       0.000       0.000       0.000       0.000
    59     2    28  2013       2       2  sat_buff               0.829       0.593       6.857       0.000       0.633       0.000       0.000       0.000       0.000
    90     3    31  2013       1       1  field                  0.177       0.323       0.018       2.096       0.645       0.000       0.000       0.003       0.000
    90     3    31  2013       2       2  sat_buff               6.498       5.676       9.684       0.002       0.774       0.000       0.000       0.000       0.000
   120     4    30  2013       1       1  field                  0.055       0.100       0.006       0.138       0.923       0.000       0.000       0.001       0.006
   120     4    30  2013       2       2  sat_buff               2.175      11.108       3.630       0.004       0.800       0.001       0.000       0.000       0.000
   151     5    31  2013       1       1  field                  0.000       0.000       0.000       0.000       1.010       0.000       0.000       0.000       0.004
   151     5    31  2013       2       2  sat_buff               0.001       0.703       0.358       0.003       0.821       0.000       0.000       0.000       0.000
   181     6    30  2013       1       1  field                  0.646       1.164       0.065       1.353       1.010       0.000       0.000       0.010       0.000
   181     6    30  2013       2       2  sat_buff              23.713     108.501      18.646       0.005       0.793       0.002       0.000       0.000       0.000
   212     7    31  2013       1       1  field                  0.000       0.000       0.000       0.000       1.043       0.000       0.000       0.000       0.000
   212     7    31  2013       2       2  sat_buff               0.013       1.673       0.432       0.040       0.823       0.000       0.000       0.000       0.000
   243     8    31  2013       1       1  field                  0.125       0.223       0.012       0.555       0.899       0.000       0.000       0.002       0.000
   243     8    31  2013       2       2  sat_buff               4.737      19.955       2.573       0.049       0.825       0.000       0.000       0.000       0.000
   273     9    30  2013       1       1  field                  0.000       0.000       0.000       0.000       0.719       0.000       0.000       0.000       0.000
   273     9    30  2013       2       2  sat_buff               0.000       0.000       0.000       0.125       0.800       0.000       0.000       0.000       0.000
   304    10    31  2013       1       1  field                  0.000       0.000       0.000       0.000       0.682       0.000       0.000       0.000       0.000
   304    10    31  2013       2       2  sat_buff               0.001       0.000       0.000       0.076       0.835       0.000       0.000       0.000       0.000
   334    11    30  2013       1       1  field                  0.000       0.000       0.000       0.000       0.607       0.000       0.000       0.000       0.000
   334    11    30  2013       2       2  sat_buff               0.000       0.000       0.000       0.037       0.809       0.000       0.000       0.000       0.000
   365    12    31  2013       1       1  field                  0.000       0.000       0.000       0.000       0.576       0.000       0.000       0.000       0.000
   365    12    31  2013       2       2  sat_buff               0.000       0.000       0.000       0.001       0.705       0.000       0.000       0.000       0.000
    31     1    31  2014       1       1  field                  0.000       0.000       0.000       0.000       0.530       0.000       0.000       0.000       0.000
    31     1    31  2014       2       2  sat_buff               0.000       0.000       0.000       0.000       0.548       0.000       0.000       0.000       0.000
    59     2    28  2014       1       1  field                  0.001       0.001       0.000       0.374       0.443       0.000       0.000       0.000       0.000
    59     2    28  2014       2       2  sat_buff               0.046       0.016       0.016       0.006       0.528       0.000       0.000       0.000       0.000
    90     3    31  2014       1       1  field                  0.092       0.165       0.009       6.003       0.544       0.000       0.000       0.001       0.000
    90     3    31  2014       2       2  sat_buff               3.160       0.619       4.017       0.000       0.754       0.000       0.000       0.000       0.000
   120     4    30  2014       1       1  field                  0.000       0.000       0.000       0.000       0.672       0.000       0.000       0.000       0.000
   120     4    30  2014       2       2  sat_buff               0.001       0.001       0.171       0.001       0.758       0.000       0.000       0.000       0.000
   151     5    31  2014       1       1  field                  0.000       0.000       0.000       0.000       0.642       0.000       0.000       0.000       0.000
   151     5    31  2014       2       2  sat_buff               0.001       0.001       0.000       0.006       0.779       0.001       0.000       0.000       0.000
   181     6    30  2014       1       1  field                  0.021       0.038       0.002       0.249       0.571       0.000       0.000       0.000       0.000
   181     6    30  2014       2       2  sat_buff               0.161       0.649       0.100       0.001       0.738       0.000       0.000       0.000       0.000
   212     7    31  2014       1       1  field                  0.085       0.150       0.008       0.903       0.579       0.000       0.000       0.001       0.000
   212     7    31  2014       2       2  sat_buff               2.991       6.877       1.616       0.028       0.774       0.001       0.000       0.000       0.000
   243     8    31  2014       1       1  field                  0.005       0.008       0.000       0.109       0.570       0.000       0.000       0.000       0.000
   243     8    31  2014       2       2  sat_buff               0.035       0.081       0.009       0.140       0.782       0.001       0.000       0.000       0.000
   273     9    30  2014       1       1  field                  0.000       0.000       0.000       0.000       0.507       0.000       0.000       0.000       0.000
   273     9    30  2014       2       2  sat_buff               0.000       0.000       0.000       0.104       0.763       0.000       0.000       0.000       0.000
   304    10    31  2014       1       1  field                  0.000       0.000       0.000       0.000       0.483       0.000       0.000       0.000       0.000
   304    10    31  2014       2       2  sat_buff               0.000       0.000       0.000       0.049       0.791       0.000       0.000       0.000       0.000
   334    11    30  2014       1       1  field                  0.014       0.024       0.001      11.962       0.431       0.000       0.000       0.000       0.000
   334    11    30  2014       2       2  sat_buff               0.526       0.007       0.401       0.027       0.766       0.000       0.000       0.000       0.000
   365    12    31  2014       1       1  field                  0.000       0.000       0.000       0.000       0.391       0.000       0.000       0.000       0.000
   365    12    31  2014       2       2  sat_buff               0.002       0.000       0.489       0.023       0.685       0.000       0.000       0.000       0.000
