 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2003     207    corn                    10825.384    4871.422     189.444      27.063
   365    12    31  2003     208    soyb                     2851.661    1283.247     123.805      21.958
   365    12    31  2003     208    corn                    12438.655    5597.395     217.676      31.097
   365    12    31  2003     209    soyb                     2683.486    1207.569      67.274      20.663
   365    12    31  2003     209    corn                    11003.347    4951.506     192.559      27.508
   365    12    31  2003     210    soyb                     3069.353    1381.209      48.020      23.634
   365    12    31  2003     210    corn                    11923.736    5365.681     208.665      29.809
   365    12    31  2003     211    corn                     9914.270    4461.421     173.500      24.786
   365    12    31  2003     212    corn                    10362.430    4663.093     181.343      25.906
   365    12    31  2003     213    corn                     9882.821    4447.270     172.949      24.707
   365    12    31  2003     214    soyb                     2871.059    1291.976      72.535      22.107
   365    12    31  2003     215    corn                     9299.832    4184.924     162.747      23.250
   365    12    31  2003     215    soyb                     2761.505    1242.677     103.433      21.264
   365    12    31  2003     216    corn                    11191.006    5035.952     195.843      27.978
   365    12    31  2003     216    soyb                     3903.219    1756.449     142.669      30.055
   365    12    31  2003     217    corn                     9035.668    4066.050     158.124      22.589
   365    12    31  2003     217    soyb                     2724.006    1225.803     102.100      20.975
   365    12    31  2003     218    corn                    11317.252    5092.763     198.052      28.293
   365    12    31  2003     218    soyb                     3966.518    1784.933     142.633      30.542
   365    12    31  2003     219    corn                     9313.860    4191.237     162.993      23.285
   365    12    31  2003     219    soyb                     2838.020    1277.109     106.302      21.853
   365    12    31  2003     220    corn                    13248.936    5962.021     231.856      33.122
   365    12    31  2003     220    soyb                     4206.830    1893.073      70.935      32.393
   365    12    31  2003     221    corn                     9188.357    4134.761     160.796      22.971
   365    12    31  2003     221    soyb                     2763.342    1243.504     103.574      21.278
   365    12    31  2003     222    corn                    11038.402    4967.281     193.172      27.596
   365    12    31  2003     222    soyb                     3909.324    1759.196     144.373      30.102
